cab_id;t_start;t_end
adkavy_0;1212737219;1212738657
adkavy_1;1212757402;1212758406
adkavy_2;1212761418;1212763109
adkavy_3;1212764169;1212765471
adkavy_4;1212765764;1212767017
adkavy_5;1212767930;1212769545
adkavy_6;1212774520;1212776065
adkavy_7;1212780665;1212781342
adkavy_8;1212784085;1212785380
adkavy_9;1212785834;1212791427
adkavy_10;1212804256;1212804965
adkavy_11;1212807793;1212808759
adkavy_12;1212808819;1212809977
adkavy_13;1212810172;1212810234
adkavy_14;1212810419;1212811384
adkavy_15;1212812448;1212812590
adkavy_16;1212813567;1212814864
adkavy_17;1212816190;1212816786
adkavy_18;1212816986;1212817607
adkavy_19;1212817806;1212820095
iafstnue_0;1212738684;1212738940
iafstnue_1;1212738965;1212739406
iafstnue_2;1212739654;1212740628
iafstnue_3;1212740750;1212741122
iafstnue_4;1212741302;1212741434
iafstnue_5;1212741672;1212741713
iafstnue_6;1212743918;1212743984
iafstnue_7;1212744543;1212745035
iafstnue_8;1212745791;1212746518
iafstnue_9;1212755441;1212756682
iafstnue_10;1212757789;1212760169
iafstnue_11;1212760968;1212762345
iafstnue_12;1212771514;1212773086
iafstnue_13;1212774894;1212776202
iafstnue_14;1212777510;1212778130
iafstnue_15;1212784208;1212785612
iafstnue_16;1212789728;1212790197
iafstnue_17;1212792699;1212793474
iafstnue_18;1212797443;1212797803
iafstnue_19;1212798959;1212803139
iafstnue_20;1212805171;1212806792
iafstnue_21;1212809047;1212810290
iafstnue_22;1212810566;1212814239
iafstnue_23;1212814391;1212814518
iafstnue_24;1212815192;1212815193
iafstnue_25;1212817407;1212818681
ogijtri_0;1212736973;1212737149
ogijtri_1;1212738815;1212739152
ogijtri_2;1212740803;1212740898
ogijtri_3;1212741136;1212741257
ogijtri_4;1212753291;1212753727
ogijtri_5;1212755898;1212756322
ogijtri_6;1212758287;1212760049
ogijtri_7;1212760145;1212760368
ogijtri_8;1212760425;1212760948
ogijtri_9;1212761068;1212761493
ogijtri_10;1212761784;1212761942
ogijtri_11;1212762892;1212763387
ogijtri_12;1212764905;1212765342
ogijtri_13;1212765507;1212765622
ogijtri_14;1212771069;1212772238
ogijtri_15;1212773872;1212774550
ogijtri_16;1212779091;1212781289
ogijtri_17;1212782332;1212782510
ogijtri_18;1212784494;1212785539
ogijtri_19;1212796401;1212798387
ogijtri_20;1212799797;1212802529
ogijtri_21;1212803401;1212805226
ogijtri_22;1212805380;1212807230
ogijtri_23;1212807291;1212808868
ogijtri_24;1212815590;1212816938
ogijtri_25;1212817301;1212818384
ogijtri_26;1212821765;1212822000
umhenwed_0;1212738145;1212739179
umhenwed_1;1212739776;1212739999
umhenwed_2;1212757855;1212760359
umhenwed_3;1212770886;1212778596
umhenwed_4;1212784615;1212785057
umhenwed_5;1212789395;1212791202
umhenwed_6;1212798494;1212799123
umhenwed_7;1212807848;1212808350
umhenwed_8;1212811911;1212812447
umhenwed_9;1212813755;1212813880
umhenwed_10;1212814420;1212814555
umhenwed_11;1212816770;1212817061
umhenwed_12;1212817913;1212819517
umhenwed_13;1212821523;1212821953
ovkojy_0;1212735767;1212736029
ovkojy_1;1212736213;1212736521
ovkojy_2;1212738287;1212738676
ovkojy_3;1212738743;1212739591
ovkojy_4;1212741566;1212742554
ovkojy_5;1212765546;1212769169
ovkojy_6;1212770070;1212771468
ovkojy_7;1212772119;1212773487
ovkojy_8;1212777087;1212777315
ovkojy_9;1212777435;1212779166
ovkojy_10;1212783067;1212783420
ovkojy_11;1212783808;1212786422
ovkojy_12;1212788508;1212789240
ovkojy_13;1212798805;1212798978
ovkojy_14;1212802248;1212803597
ovkojy_15;1212804638;1212804880
ovkojy_16;1212805300;1212807551
ovkojy_17;1212808400;1212809407
ovkojy_18;1212816968;1212817435
